Prefix,Category,Subcategory,Description
RAOQ,Complexity Indices,Entropy,Entropy measure that considers both abundance and dissimilarity among categories.
rBA,Spectral Indices,Balance,"Relative levels of biophony (natural sounds) and anthrophony (human-made sounds). Based on user defined threshold for andthrophony (0-1,000 Hz for 16 kHz SR; 0-1,500 Hz for Full Bandwidth) and biophony (1,000 Hz - 8,000 Hz for 16 kHz SR; 1,500 Hz and up for Full Bandwidth runs)."
ROIcover,Complexity Indices,Spatial Coverage,Extent to which regions of interest cover the acoustic space.
ROItotal,Complexity Indices,Spatial Count,Total measure or count of regions of interest identified within the soundscape.
ROU,Complexity Indices,Texture,Measure of the texture or roughness of the sound profile.
SKEWf,Spectral Indices,Frequency Distribution,Asymmetry of the frequency distribution of the sound.
SKEWt,Temporal Indices,Time Distribution,Asymmetry of the amplitude distribution of the audio signal in the time domain.
SNRf,Amplitude Indices,Noise,Ratio of signal level to noise level in the frequency domain.
SNRt,Amplitude Indices,Noise,Ratio of the audio signal level to the level of background noise.
TFSD,Temporal Indices,Frequency,"Diversity of frequencies over time, reflecting temporal variation."
VARf,Spectral Indices,Frequency,"Variance in the frequency of sounds, indicating dispersion around the mean frequency."
VARt,Temporal Indices,Time,"Variance of the time-domain audio signal amplitude, indicating amplitude fluctuations over time."
ZCR,Complexity Indices,Frequency,"Measures the rate at which the signal changes from positive to negative or back, indicating the frequency content of the sound."
